"RA (J2000)" "Dec (J2000)" G_mean_magnitude ra_str dec_str
283.62885 48.391003 13.071632 "18 54 30.9" "48 23 27.6"
290.95615 49.366398 14.221773 "19 23 49.5" "49 21 59.0"
289.07571 51.757439 11.747176 "19 16 18.2" "51 45 26.8"
285.92889 38.520981 14.47437 "19 03 42.9" "38 31 15.5"
285.01309 40.220749 14.412604 "19 00 03.1" "40 13 14.7"
297.72925 42.86692 15.739286 "19 50 55.0" "42 52 00.9"
287.5264 42.912899 15.655394 "19 10 06.3" "42 54 46.4"
290.3815 43.292988 12.471533 "19 21 31.6" "43 17 34.8"
282.25021 44.921108 16.310108 "18 49 00.1" "44 55 16.0"
300.20609 45.018139 14.751061 "20 00 49.5" "45 01 05.3"
294.23764 45.197105 17.120575 "19 36 57.0" "45 11 49.6"
284.92184 45.972401 14.458199 "18 59 41.2" "45 58 20.6"
298.73611 46.498634 16.71568 "19 54 56.7" "46 29 55.1"
