name ra_str dec_str G_mean_magnitude
EllieH00 "18 54 30.9" "48 23 27.6" 13.071632
EllieH01 "19 23 49.5" "49 21 59.0" 14.221773
EllieH02 "19 16 18.2" "51 45 26.8" 11.747176
EllieH03 "19 03 42.9" "38 31 15.5" 14.47437
EllieH04 "19 00 03.1" "40 13 14.7" 14.412604
EllieH05 "19 50 55.0" "42 52 00.9" 15.739286
EllieH06 "19 10 06.3" "42 54 46.4" 15.655394
EllieH07 "19 21 31.6" "43 17 34.8" 12.471533
EllieH08 "18 49 00.1" "44 55 16.0" 16.310108
EllieH09 "20 00 49.5" "45 01 05.3" 14.751061
EllieH10 "19 36 57.0" "45 11 49.6" 17.120575
EllieH11 "18 59 41.2" "45 58 20.6" 14.458199
EllieH12 "19 54 56.7" "46 29 55.1" 16.71568
