name ra_str dec_str G_mean_magnitude
EllieL00 "18 59 46.7" "47 16 45.7" 13.390228
EllieL01 "18 53 42.6" "47 29 00.5" 12.009615
EllieL02 "18 54 49.0" "47 29 21.9" 15.690835
EllieL03 "19 45 41.8" "47 48 41.2" 13.40243
EllieL04 "19 45 43.7" "47 48 43.8" 12.486488
EllieL05 "19 14 08.8" "47 59 12.8" 13.474186
EllieL06 "19 28 21.7" "48 01 35.0" 12.671322
EllieL07 "19 33 55.0" "48 08 14.7" 10.534548
EllieL08 "19 26 21.9" "48 14 57.7" 14.54806
EllieL09 "18 54 30.9" "48 23 27.6" 13.071632
EllieL10 "19 08 18.9" "48 23 33.2" 13.780648
EllieL11 "18 48 59.4" "48 27 00.6" 13.169234
EllieL12 "19 03 29.7" "48 32 52.3" 11.837552
EllieL13 "19 24 15.3" "48 50 47.4" 11.95082
EllieL14 "19 20 43.8" "48 56 42.6" 12.052331
EllieL15 "19 20 46.1" "48 56 56.1" 14.007857
EllieL16 "19 20 44.2" "49 04 38.9" 14.384727
EllieL17 "19 00 18.7" "49 29 10.6" 13.246727
EllieL18 "19 18 57.0" "49 51 30.9" 11.818847
EllieL19 "19 22 42.2" "50 11 58.8" 10.731223
EllieL20 "19 39 39.0" "50 31 21.0" 16.551054
EllieL21 "19 17 46.6" "50 55 44.7" 11.779665
EllieL22 "19 19 21.3" "51 30 43.7" 11.327512
EllieL23 "19 19 17.0" "51 57 55.4" 15.817673
EllieL24 "19 27 26.3" "37 10 37.8" 13.711763
EllieL25 "19 27 26.3" "37 53 47.0" 13.998529
EllieL26 "19 03 06.1" "37 55 22.1" 13.306207
EllieL27 "19 03 06.4" "37 55 26.2" 13.686242
EllieL28 "19 04 59.4" "39 16 05.8" 13.270499
EllieL29 "19 09 17.4" "39 16 53.3" 13.721465
EllieL30 "19 09 37.7" "39 23 26.0" 14.499949
EllieL31 "19 43 57.5" "39 45 49.1" 11.341083
EllieL32 "19 06 24.5" "39 52 57.8" 14.025555
EllieL33 "19 39 58.9" "39 50 53.0" 12.159448
EllieL34 "18 58 10.3" "39 59 16.7" 17.183928
EllieL35 "19 34 15.8" "39 57 23.6" 11.90093
EllieL36 "18 59 27.9" "40 01 30.0" 13.978767
