name ra_str dec_str phot_g_mean_mag
GD1_00 "8 21 29.93" "3 14 42.30" 13.763388633728027
GD1_01 "8 21 40.08" "2 44 15.46" 12.694099426269531
GD1_02 "8 32 46.20" "8 59 03.90" 13.453051567077637
GD1_03 "8 36 01.02" "14 29 20.07" 14.079899787902832
GD1_04 "8 36 17.73" "14 30 42.28" 11.841965675354004
GD1_05 "8 39 42.17" "14 19 33.68" 13.242218971252441
GD1_06 "8 51 41.57" "20 02 20.21" 13.234966278076172
GD1_07 "8 52 25.00" "16 52 51.29" 13.385492324829102
GD1_08 "8 53 08.77" "17 13 26.51" 12.895832061767578
GD1_09 "8 56 58.32" "24 29 14.26" 14.032807350158691
GD1_10 "8 58 00.37" "14 19 06.89" 13.14185619354248
GD1_11 "9 00 26.43" "18 54 34.99" 13.343008041381836
GD1_12 "9 03 36.22" "9 16 25.27" 14.121164321899414
GD1_13 "9 06 55.74" "21 43 17.24" 13.398012161254883
GD1_14 "9 11 49.25" "19 30 10.59" 11.778218269348145
GD1_15 "9 15 31.57" "22 26 33.18" 13.47751522064209
GD1_16 "9 22 54.33" "29 53 13.76" 13.204828262329102
GD1_17 "9 32 03.69" "29 51 59.32" 14.708752632141113
GD1_18 "10 05 43.60" "35 12 01.51" 13.079197883605957
GD1_19 "10 11 58.41" "42 23 48.61" 14.00953483581543
GD1_20 "10 26 14.79" "43 15 07.41" 11.556342124938965
GD1_21 "10 39 31.31" "51 16 22.43" 12.802831649780273
GD1_22 "10 55 21.68" "43 53 46.41" 14.246404647827148
GD1_23 "11 20 47.16" "45 12 00.97" 14.380019187927246
GD1_24 "11 29 24.50" "55 33 06.01" 14.013790130615234
GD1_25 "11 37 14.47" "59 12 23.79" 14.046082496643066
GD1_26 "11 39 43.50" "52 19 28.35" 14.56132984161377
GD1_27 "11 52 11.87" "58 04 39.09" 13.589057922363281
GD1_28 "12 00 16.86" "58 46 19.56" 13.15141773223877
GD1_29 "13 01 05.69" "53 51 18.20" 14.49198055267334
GD1_30 "13 01 16.98" "55 21 19.42" 15.038323402404785
GD1_31 "13 21 52.32" "57 30 12.29" 12.917223930358887
GD1_32 "13 25 34.51" "55 15 52.28" 12.767218589782715
